"region_id","default_name"
"Bangkok","Khlong Toei"
"Bangkok","Khlong San"
"Bangkok","Khlong Sam Wa"
"Bangkok","Khan Na Yao"
"Bangkok","Chatuchak"
"Bangkok","Chom Thong"
"Bangkok","Don Mueang"
"Bangkok","Din Daeng"
"Bangkok","Dusit"
"Bangkok","Taling Chan"
"Bangkok","Thawi Watthana"
"Bangkok","Thung Khru"
"Bangkok","Thon Buri"
"Bangkok","Bang Khen"
"Bangkok","Bang Khae"
"Bangkok","Bangkok Yai"
"Bangkok","Bangkok Noi"
"Bangkok","Bang Kapi"
"Bangkok","Bang Khun Thian"
"Bangkok","Bang Kho Laem"
"Bangkok","Bang Sue"
"Bangkok","Bang Na"
"Bangkok","Bang Bon"
"Bangkok","Bang Phlat"
"Bangkok","Bang Rak"
"Bangkok","Bueng Kum"
"Bangkok","Pathum Wan"
"Bangkok","Prawet"
"Bangkok","Pom Prap Sattru Phai"
"Bangkok","Phaya Thai"
"Bangkok","Phra Khanong"
"Bangkok","Phra Nakhon"
"Bangkok","Phasi Charoen"
"Bangkok","Min Buri"
"Bangkok","Yan Nawa"
"Bangkok","Ratchathewi"
"Bangkok","Rat Burana"
"Bangkok","Lat Krabang"
"Bangkok","Lat Phrao"
"Bangkok","Wang Thonglang"
"Bangkok","Watthana"
"Bangkok","Suan Luang"
"Bangkok","Saphan Sung"
"Bangkok","Samphanthawong"
"Bangkok","Sathon"
"Bangkok","Sai Mai"
"Bangkok","Nong Khaem"
"Bangkok","Nong Chok"
"Bangkok","Lak Si"
"Bangkok","Huai Khwang"
"Samut Prakarn","Mueang Samut Prakan"
"Samut Prakarn","Bang Sao Thong"
"Samut Prakarn","Bang Bo"
"Samut Prakarn","Bang Phli"
"Samut Prakarn","Phra Pradaeng"
"Samut Prakarn","Phra Samut Chedi"
"Nonthaburi","Mueang Nonthaburi"
"Nonthaburi","Sai Noi"
"Nonthaburi","Bang Yai"
"Nonthaburi","Bang Kruai"
"Nonthaburi","Bang Bua Thong"
"Nonthaburi","Pak Kret"
"Nonthaburi","บางใหญ่1"
"Pathum Thani","Mueang Pathum Thani"
"Pathum Thani","Khlong Luang"
"Pathum Thani","Thanyaburi"
"Pathum Thani","Lat Lum Kaeo"
"Pathum Thani","Lam Luk Ka"
"Pathum Thani","Sam Khok"
"Pathum Thani","Nong Suea"
"Ayutthaya","Sena"
"Ayutthaya","Tha Ruea"
"Ayutthaya","Nakhon Luang"
"Ayutthaya","Bang Sai"
"Ayutthaya","Bang Zai"
"Ayutthaya","Bang Ban"
"Ayutthaya","Bang Pahan"
"Ayutthaya","Bang Pa-in"
"Ayutthaya","Ban Phraek"
"Ayutthaya","Phak Hai"
"Ayutthaya","Phra Nakhon Si Ayutthaya"
"Ayutthaya","Phachi"
"Ayutthaya","Maha Rat"
"Ayutthaya","Lat Bua Luang"
"Ayutthaya","Wang Noi"
"Ayutthaya","Uthai"
"Ang Thong","Mueang Ang Thong"
"Ang Thong","Sawaeng Ha"
"Ang Thong","Pho Thong"
"Ang Thong","Chaiyo"
"Ang Thong","Pa Mok"
"Ang Thong","Wiset Chai Chan"
"Ang Thong","Samko"
"Lop Buri","Mueang Lopburi"
"Lop Buri","Khok Charoen"
"Lop Buri","Khok Samrong"
"Lop Buri","Chai Badan"
"Lop Buri","Tha Wung"
"Lop Buri","Tha Luang"
"Lop Buri","Ban Mi"
"Lop Buri","Phatthana Nikhom"
"Lop Buri","Lam Sonthi"
"Lop Buri","Sa Bot"
"Lop Buri","Nong Muang"
"Singburi","Mueang Sing Buri"
"Singburi","Khai Bang Rachan"
"Singburi","Tha Chang"
"Singburi","Bang Rachan"
"Singburi","Phrom Buri"
"Singburi","In Buri"
"Chai Nat","Noen Kham"
"Chai Nat","Mueang Chai Nat"
"Chai Nat","Manorom"
"Chai Nat","Wat Sing"
"Chai Nat","Sankhaburi"
"Chai Nat","Sapphaya"
"Chai Nat","Nong Mamong"
"Chai Nat","Hankha"
"Saraburi","Chaloem Phra Kiat"
"Saraburi","Mueang Saraburi"
"Saraburi","Sao Hai"
"Saraburi","Kaeng Khoi"
"Saraburi","Don Phut"
"Saraburi","Ban Mo"
"Saraburi","Phra Phutthabat"
"Saraburi","Muak Lek"
