"locale","region_id","name"
"th_TH","Bangkok","กรุงเทพมหานคร"
"th_TH","Samut Prakarn","สมุทรปราการ"
"th_TH","Nonthaburi","นนทบุรี"
"th_TH","Pathum Thani","ปทุมธานี"
"th_TH","Ayutthaya","พระนครศรีอยุธยา"
"th_TH","Ang Thong","อ่างทอง"
"th_TH","Lop Buri","ลพบุรี"
"th_TH","Singburi","สิงห์บุรี"
"th_TH","Chai Nat","ชัยนาท"
"th_TH","Saraburi","สระบุรี"
"th_TH","Chonburi","ชลบุรี"
"th_TH","Rayong","ระยอง"
"th_TH","Chanthaburi","จันทบุรี"
"th_TH","Trat","ตราด"
"th_TH","Chachoengsao","ฉะเชิงเทรา"
"th_TH","Prachinburi","ปราจีนบุรี"
"th_TH","Nakhon Nayok","นครนายก"
"th_TH","Sa Kaeo","สระแก้ว"
"th_TH","Nakhon Ratchasima","นครราชสีมา"
"th_TH","Buriram","บุรีรัมย์"
"th_TH","Surin","สุรินทร์"
"th_TH","Sisaket","ศรีสะเกษ"
"th_TH","Ubon Ratchathani","อุบลราชธานี"
"th_TH","Yasothon","ยโสธร"
"th_TH","Chaiyaphum","ชัยภูมิ"
"th_TH","Amnat Charoen","อำนาจเจริญ"
"th_TH","Bueng Kan","บึงกาฬ"
"th_TH","Nong Bua Lamphu","หนองบัวลำภู"
"th_TH","Khon Kaen","ขอนแก่น"
"th_TH","Udon Thani","อุดรธานี"
"th_TH","Loei","เลย"
"th_TH","Nong Khai","หนองคาย"
"th_TH","Maha Sarakham","มหาสารคาม"
"th_TH","Roi Et","ร้อยเอ็ด"
"th_TH","Kalasin","กาฬสินธุ์"
"th_TH","Sakon Nakhon","สกลนคร"
"th_TH","Nakhon Phanom","นครพนม"
"th_TH","Mukdahan","มุกดาหาร"
"th_TH","Chiang Mai","เชียงใหม่"
"th_TH","Lamphun","ลำพูน"
"th_TH","Lampang","ลำปาง"
"th_TH","Uttaradit","อุตรดิตถ์"
"th_TH","Phrae","แพร่"
"th_TH","Nan","น่าน"
"th_TH","Phayao","พะเยา"
"th_TH","Chiang Rai","เชียงราย"
"th_TH","Mae Hong Son","แม่ฮ่องสอน"
"th_TH","Nakhon Sawan","นครสวรรค์"
"th_TH","Uthai Thani","อุทัยธานี"
"th_TH","Kamphaeng Phet","กำแพงเพชร"
"th_TH","Tak","ตาก"
"th_TH","Sukhothai","สุโขทัย"
"th_TH","Phitsanulok","พิษณุโลก"
"th_TH","Phichit","พิจิตร"
"th_TH","Phetchabun","เพชรบูรณ์"
"th_TH","Ratchaburi","ราชบุรี"
"th_TH","Kanchanaburi","กาญจนบุรี"
"th_TH","Suphanburi","สุพรรณบุรี"
"th_TH","Nakhon Pathom","นครปฐม"
"th_TH","Samut Sakorn","สมุทรสาคร"
"th_TH","Samut Songkhram","สมุทรสงคราม"
"th_TH","Phetchaburi","เพชรบุรี"
"th_TH","Prachuap Khiri Khan","ประจวบคีรีขันธ์"
"th_TH","Nakhon Si Thammarat","นครศรีธรรมราช"
"th_TH","Krabi","กระบี่"
"th_TH","Phang Nga","พังงา"
"th_TH","Phuket","ภูเก็ต"
"th_TH","Surat Thani","สุราษฎร์ธานี"
"th_TH","Ranong","ระนอง"
"th_TH","Chumphon","ชุมพร"
"th_TH","Songkhla","สงขลา"
"th_TH","Satun","สตูล"
"th_TH","Trang","ตรัง"
"th_TH","Phatthalung","พัทลุง"
"th_TH","Pattani","ปัตตานี"
"th_TH","Yala","ยะลา"
"th_TH","Narathiwat","นราธิวาส"
