"city_id","default_name","postcode"
"Akat Amnuai","Phon Phaeng",47170
"Akat Amnuai","Phon Ngam",47170
"Akat Amnuai","Tha Kon",47170
"Akat Amnuai","Na Hi",47170
"Akat Amnuai","Ba Wa",47170
"Akat Amnuai","Wa Yai",47170
"Akat Amnuai","Samakkhi Phatthana",47170
"Akat Amnuai","Akat",47170
"Amphawa","Mueang Mai",75110
"Amphawa","Khwae Om",75110
"Amphawa","Phraek Nam Daeng",75110
"Amphawa","Tha Kha",75110
"Amphawa","Bang Khae",75110
"Amphawa","Bang Chang",75110
"Amphawa","Bang Nang Li",75110
"Amphawa","Plai Phongphang",75110
"Amphawa","Yisan",75110
"Amphawa","Wat Pradu",75110
"Amphawa","Suan Luang",75110
"Amphawa","Amphawa",75110
"Ao Luek","Khao Yai",81110
"Ao Luek","Laem Sak",81110
"Ao Luek","Khlong Ya",81110
"Ao Luek","Khlong Hin",81110
"Ao Luek","Na Nuea",81110
"Ao Luek","Ban Klang",81110
"Ao Luek","Ao Luek Nuea",81110
"Ao Luek","Ao Luek Tai",81110
"Ao Luek","Ao Luek Noi",81110
"Aranyaprathet","Mueang Phai",27120
"Aranyaprathet","Khlong Thap Chan",27120
"Aranyaprathet","Khlong Nam Sai",27120
"Aranyaprathet","Thap Phrik",27120
"Aranyaprathet","Tha Kham",27120
"Aranyaprathet","Ban Mai Nong Sai",27120
"Aranyaprathet","Ban Dan",27120
"Aranyaprathet","Pa Rai",27120
"Aranyaprathet","Phan Suek",27120
"Aranyaprathet","Fak Huai",27120
"Aranyaprathet","Nong Sang",27120
"Aranyaprathet","Han Sai",27120
"Aranyaprathet","Aranyaprathet",27120
"At Samat","Phon Mueang",45160
"At Samat","Hora",45160
"At Samat","Khilek",45160
"At Samat","Ban Chaeng",45160
"At Samat","Ban Du",45160
"At Samat","Nong Kham",45160
"At Samat","Nong Bua",45160
"At Samat","Nong Muen Than",45160
"At Samat","Nom",45160
"At Samat","At Samat",45160
"Bacho","Kayo Mati",96170
"Bacho","Bacho",96170
"Bacho","Bare Nuea",96170
"Bacho","Bare Tai",96170
"Bacho","Paluka Samo",96170
"Bacho","Lubo Sawo",96170
"Bamnet Narong","Ko Manao",36160
"Bamnet Narong","Khok Phet Phatthana",36160
"Bamnet Narong","Khok Roeng Rom",36160
"Bamnet Narong","Ban Phet",36160
"Bamnet Narong","Ban Chuan",36160
"Bamnet Narong","Ban Tan",36220
"Bamnet Narong","Hua Thale",36220
"Ban Bueng","Khlong Kio",20220
"Ban Bueng","Ban Bueng",20170
"Ban Bueng","Map Phai",20170
"Ban Bueng","Nong Phai Kaeo",20220
"Ban Bueng","Nong Chak",20170
"Ban Bueng","Nong Samsak",20170
"Ban Bueng","Nong Bon Daeng",20170
"Ban Bueng","Nong Irun",20220
"Ban Chang","Ban Chang",21130
"Ban Chang","Phla",21130
"Ban Chang","Samnak Thon",21130
"Ban Dan","Non Khwang",31000
"Ban Dan","Ban Dan",31000
"Ban Dan","Prasat",31000
"Ban Dan","Wang Nuea",31000
"Ban Dan Lan Hoi","Taling Chan",64140
"Ban Dan Lan Hoi","Ban Dan",64140
"Ban Dan Lan Hoi","Lan Hoi",64140
"Ban Dan Lan Hoi","Wang Takhro",64140
"Ban Dan Lan Hoi","Wang Nam Khao",64140
"Ban Dan Lan Hoi","Wang Luek",64140
"Ban Dan Lan Hoi","Nong Ya Plong",64140
"Ban Dung","Phon Sung",41190
"Ban Dung","Dong Yen",41190
"Ban Dung","Thon Na Lap",41190
"Ban Dung","Na Mai",41190
"Ban Dung","Na Kham",41190
"Ban Dung","Ban Chan",41190
"Ban Dung","Ban Chai",41190
"Ban Dung","Ban Dung",41190
"Ban Dung","Ban Tat",41190
"Ban Dung","Ban Muang",41190
"Ban Dung","Wang Thong",41190
"Ban Dung","Si Suttho",41190
"Ban Dung","Om Ko",41190
"Ban Fang","Khok Ngam",40270
"Ban Fang","Non Khong",40270
"Ban Fang","Ban Lao",40270
"Ban Fang","Ban Fang",40270
"Ban Fang","Pa Manao",40270
"Ban Fang","Pa Wai Nang",40270
"Ban Fang","Nong Bua",40270
"Ban Haet","Khok Samran",40110
"Ban Haet","Non Sombun",40110
"Ban Haet","Ban Haet",40110
"Ban Haet","Nong Saeng",40110
"Ban Hong","Lao Yao",51130
"Ban Hong","Ban Hong",51130
"Ban Hong","Pa Phlu",51130
"Ban Hong","Si Tia",51130
"Ban Hong","Nong Pla Sawai",51130
"Ban Kha","Ban Kha",70180
"Ban Kha","Ban Bueng",70180
"Ban Kha","Nong Phan Chan",70180
"Ban Khai","Chak Bok",21120
"Ban Khai","Ta Khan",21120
"Ban Khai","Bang But",21120
"Ban Khai","Ban Kha",21120
"Ban Khai","Nong Taphan",21120
"Ban Khai","Nong Bua",21120
"Ban Khai","Nong Lalok",21120
"Ban Khok","Na Khum",53180
"Ban Khok","Bo Bia",53180
"Ban Khok","Ban Khok",53180
"Ban Khok","Muang Chet Ton",53180
"Ban Khwao","Non Daeng",36170
"Ban Khwao","Chi Bon",36170
"Ban Khwao","Talat Raeng",36170
"Ban Khwao","Ban Khwao",36170
"Ban Khwao","Phu Laen Kha",36170
"Ban Khwao","Lum Lamchi",36170
"Ban Kruat","Khao Din Nuea",31180
"Ban Kruat","Non Charoen",31180
"Ban Kruat","Chanthop Phet",31180
"Ban Kruat","Ban Kruat",31180
"Ban Kruat","Bueng Charoen",31180
"Ban Kruat","Prasat",31180
"Ban Kruat","Sai Taku",31180
"Ban Kruat","Nong Mai Ngam",31180
"Ban Kruat","Hin Lat",31180
"Ban Laem","Laem Phak Bia",76100
"Ban Laem","Tha Raeng",76110
"Ban Laem","Tha Raeng Ok",76110
"Ban Laem","Bang Kaeo",76110
"Ban Laem","Bang Khun Sai",76110
"Ban Laem","Bang Khrok",76110
"Ban Laem","Bang Tabun",76110
"Ban Laem","Bang Tabun Ok",76110
"Ban Laem","Ban Laem",76110
"Ban Laem","Pak Thale",76110
"Ban Lat","Rong Khe",76150
"Ban Lat","Rai Khok",76150
"Ban Lat","Rai Makham",76150
"Ban Lat","Rai Sathon",76150
"Ban Lat","Tamru",76150
"Ban Lat","Tham Rong",76150
"Ban Lat","Tha Sen",76150
"Ban Lat","Tha Chang",76150
"Ban Lat","Ban Than",76150
"Ban Lat","Ban Lat",76150
"Ban Lat","Ban Hat",76150
"Ban Lat","Lat Pho",76150
"Ban Lat","Samo Phlue",76150
"Ban Lat","Saphan Krai",76150
"Ban Lat","Nong Krachet",76150
"Ban Lat","Nong Kapu",76150
"Ban Lat","Huai Khong",76150
"Ban Lat","Huai Luek",76150
"Ban Luang","Ban Phi",55190
"Ban Luang","Ban Fa",55190
"Ban Luang","Pa Kha Luang",55190
"Ban Luang","Suat",55190
"Ban Lueam","Khok Krabueang",30350
"Ban Lueam","Cho Raka",30350
"Ban Lueam","Ban Lueam",30350
"Ban Lueam","Wang Pho",30350
"Ban Mai Chaiyaphot","Daeng Yai",31120
"Ban Mai Chaiyaphot","Ku Suan Taeng",31120
"Ban Mai Chaiyaphot","Thonglang",31120
